Year,Title,Director,Cast,Genre
1922,Veer Abhimanyu,Manilal Joshi,"vakil,fatma,begum,sultana,madanrai",mythology
1922,Virat Parva,Vishnupant Divekar,"soni,y,datar,v",mythology
1923,Babruwahan,Dadasaheb Phalke,"bhaurao,datar,jadhav,sakharam,pendse,dada",mythology
1923,Bhakta Gora Kumbhar a.k.a. Gora Kumbhar The Devout,Unknown,devotional,unknown
1923,Bhakta Sudhanva,Unknown,unknown,devotional
1923,Buddha Dev a.k.a. Lord Buddha,Dadasaheb Phalke,"bhaurao,datar,charubai,salunke,pendse,dada,anna","religious,biopic"
1923,Champraj Hada,Unknown,unknown,devotional
1923,Chintamoni,Dhirendranath Ganguly,unknown,devotional
1923,Durvas Shaap a.k.a. Curse Of Durvas,S. N. Patankar,"tara,koregaonkar,thatte",mythology
1923,Gayatri Mahatmya a.k.a. Venukumar,Unknown,unknown,mythology
1923,Guru Dronacharya a.k.a. Drona The Teacher,Dadasaheb Phalke,"bhaurao,datar,charubai,pendse,dada",mythology
1923,Guru Machindranath a.k.a. Streeyaraj a.k.a. The Kingdom Of Women,S. N. Patankar,"trymbakrao,pradhan",mythology
1923,Goswami Tulsidas,Kanjibhai Rathod,unknown,"devotional,biopic"
1923,Janak Videhi a.k.a. King Janak,S. N. Patankar,unknown,mythology
1923,Jara Sandha Vadha,Dadasaheb Phalke,"bhaurao,datar,pawar,singh,bachu,ghanshyam",mythology
1923,Kamale Kamini a.k.a. Kamale Kamani a.k.a. Maid Of The Lotus,Sisir Kumar Bhaduri,"sisir,akshoy,chakraborty,master,rabindramohan,prabodh,ray,patience,kumar,kusumkumari,bannerjee,nripen,basantakumari,cooper,tulsi,liguoro,bhaduri,e,bose",mythology
1923,Khokha Babu a.k.a. Khokababu,Chittranjan R. Goswami,"chittaranjan,goswami,mitra,nagendrabala,naresh","social,drama"
1923,Kirat Arjuna,Manilal Joshi,unknown,"mythology,epic"
1923,Krishna Arjuna Yuddha,Unknown,unknown,mythology
1923,Krishna Toola,Unknown,unknown,mythology
1923,Life Of Lord Buddha,Unknown,unknown,"religious,biopic"
1923,Maan Bhanjan a.k.a. Honour Retained a.k.a. All For Love,Naresh Mitra,"chakraborty,lila,durgadas,mitra,bannerjee,neelam,mukherjee,sona,debi,naresh,tulsi,rani,indu,tinkari","social,drama"
1923,Mahananda a.k.a. Sati Mahananda,Dadasaheb Phalke,unknown,devotional
